comm,loans,bad,bad_rate,members
595,3,0,0.0,5
594,1,0,0.0,3
593,1,0,0.0,3
602,4,0,0.0,8
633,1,0,0.0,4
632,2,0,0.0,5
630,1,0,0.0,4
629,9,0,0.0,17
628,9,0,0.0,20
627,10,0,0.0,19
626,3,0,0.0,6
625,6,0,0.0,15
624,1,0,0.0,3
613,3,0,0.0,6
622,1,0,0.0,3
621,1,0,0.0,3
620,3,0,0.0,8
619,31,0,0.0,64
618,2,0,0.0,5
617,66,0,0.0,137
616,1,0,0.0,3
615,1,0,0.0,3
614,5,0,0.0,12
623,1,0,0.0,3
570,2,0,0.0,7
569,3,0,0.0,8
568,3,0,0.0,6
566,7,0,0.0,16
564,1,0,0.0,4
562,16,0,0.0,31
561,5,0,0.0,11
560,12,0,0.0,26
559,1,0,0.0,3
592,1,0,0.0,3
557,1,0,0.0,3
556,1,0,0.0,3
555,2,0,0.0,6
554,8,0,0.0,18
553,2,0,0.0,5
551,1,0,0.0,3
